CD_MUN,lp_adequado,mt_adequado,lp_insuficiente,lp_basico,lp_proficiente,lp_avancado,mt_insuficiente,mt_basico,mt_proficiente,mt_avancado,ideb
3506607,0.2998,0.0489,0.3586,0.3415,0.2922,0.0076,0.5698,0.3812,0.0489,0.0,4.1
3506607,0.2998,0.0489,0.3586,0.3415,0.2922,0.0076,0.5698,0.3812,0.0489,0.0,4.1
3506706,,,,,,,,,,,
3506706,,,,,,,,,,,
3506805,,,,,,,,,,,
3506805,,,,,,,,,,,
3506904,,,,,,,,,,,
3506904,,,,,,,,,,,
3507001,0.4454,0.0843,0.2132,0.3415,0.4318,0.0136,0.4273,0.4883,0.0753,0.009,
3507001,0.4454,0.0843,0.2132,0.3415,0.4318,0.0136,0.4273,0.4883,0.0753,0.009,4.0
3507001,0.4454,0.0843,0.2132,0.3415,0.4318,0.0136,0.4273,0.4883,0.0753,0.009,4.3
3507100,0.37,0.0403,0.2847,0.3452,0.37,0.0,0.5694,0.3903,0.0365,0.0038,4.6
3507100,0.37,0.0403,0.2847,0.3452,0.37,0.0,0.5694,0.3903,0.0365,0.0038,4.6
3507159,0.2137,0.0404,0.2543,0.5318,0.1733,0.0404,0.4277,0.5319,0.0,0.0404,4.8
3507159,0.2137,0.0404,0.2543,0.5318,0.1733,0.0404,0.4277,0.5319,0.0,0.0404,4.8
3507209,,,,,,,,,,,
3507209,,,,,,,,,,,
3507308,0.3248,0.0536,0.1975,0.4776,0.3248,0.0,0.4946,0.4518,0.0536,0.0,4.7
3507308,0.3248,0.0536,0.1975,0.4776,0.3248,0.0,0.4946,0.4518,0.0536,0.0,4.7
3507407,,,,,,,,,,,
3507407,,,,,,,,,,,
3507456,0.2243,0.0,0.5073,0.2683,0.2243,0.0,0.7329,0.2671,0.0,0.0,4.0
3507456,0.2243,0.0,0.5073,0.2683,0.2243,0.0,0.7329,0.2671,0.0,0.0,4.0
3507506,0.3808,0.0421,0.2719,0.3474,0.374,0.0068,0.4781,0.4796,0.0385,0.0036,4.4
3507506,0.3808,0.0421,0.2719,0.3474,0.374,0.0068,0.4781,0.4796,0.0385,0.0036,4.4
3507605,0.3955,0.0779,0.264,0.3405,0.373,0.0225,0.5009,0.4212,0.0697,0.0082,
3507605,0.3955,0.0779,0.264,0.3405,0.373,0.0225,0.5009,0.4212,0.0697,0.0082,4.5
3507605,0.3955,0.0779,0.264,0.3405,0.373,0.0225,0.5009,0.4212,0.0697,0.0082,4.6
3507704,,,,,,,,,,,
3507704,,,,,,,,,,,
3507753,0.3,0.05,0.3,0.4,0.3,0.0,0.5,0.45,0.05,0.0,4.7
3507753,0.3,0.05,0.3,0.4,0.3,0.0,0.5,0.45,0.05,0.0,4.7
3507803,,,,,,,,,,,
3507803,,,,,,,,,,,
3507902,0.2688,0.0326,0.3139,0.4173,0.2634,0.0054,0.5901,0.3773,0.0326,0.0,4.3
3507902,0.2688,0.0326,0.3139,0.4173,0.2634,0.0054,0.5901,0.3773,0.0326,0.0,
3507902,0.2688,0.0326,0.3139,0.4173,0.2634,0.0054,0.5901,0.3773,0.0326,0.0,4.3
3508009,,,,,,,,,,,
3508009,,,,,,,,,,,
3508108,0.3237,0.0506,0.2385,0.4379,0.3157,0.008,0.4694,0.4799,0.0506,0.0,4.7
3508108,0.3237,0.0506,0.2385,0.4379,0.3157,0.008,0.4694,0.4799,0.0506,0.0,4.7
3508207,0.1818,0.0303,0.3333,0.4848,0.1818,0.0,0.606,0.3636,0.0303,0.0,4.4
